query,test_case_name,success,score,reason,actual_output,expected_output
Jak se připravuje ochucená strouhanka?,test_case_0,True,0.9,"The score is 0.90 because while the response likely provides instructions on preparing flavored breadcrumbs, it includes a statement directing to the source of the information which is irrelevant to the preparation process itself.","Omlouvám se, ale v momentálně dostupné databázi receptů nemám přesný recept na ochucenou strouhanku. Tato informace není z databáze receptů, ale mohu nabídnout obecnou radu:

Ochucená strouhanka je skvělé, když chcete dodat pokrmu extra chuť. Můžete ji připravit například z bílého chleba nebo rohlíků, které necháte ztvrdnout a poté je rozemelíte na jemné drobky. K základním ingrediencím můžete přidat různé koření a bylinky podle chuti, jako je sušená bazalka, oregano, tymián, sušený česnek nebo parmezán. Směs poté promíchejte, aby se všechny komponenty dobře propojily.

Pokud máte zájem o další tipy nebo podobné recepty, dejte mi vědět!","Pro přípravu ochucené strouhanky promíchejte strouhanku s citronovou kůrou, špetkou soli a pepře a najemno nakrájenou petrželí."
"Jak se připravuje ochucená strouhanka, kterou se posypou makarony se sýrem?",test_case_1,True,0.8,"The score is 0.80 because while the core answer is relevant, a concluding well-wishing statement detracts slightly from the overall focus.","Ochucená strouhanka pro makarony se sýrem se připravuje tak, že strouhanku promícháte s citronovou kůrou, špetkou soli a pepře a najemno nakrájenou petrželí. Dobrou chuť!","Ochucenou strouhanku připravíte smícháním strouhanky s citronovou kůrou, špetkou soli, pepřem a najemno nasekanou petrželí."
Můžu použít jiné než červené rajčata?,test_case_2,True,1.0,The score is 1.00 because the response is perfectly relevant and contains no irrelevant information! Keep up the great work!,"Ano, můžete použít jiné než červené rajčata. Podle receptu na ""Salát z chřestu, rajčat a ořechů"" je možné místo klasických červených rajčat použít jejich zelenou či žlutou odrůdu. Tyto odrůdy je možné do salátu také kombinovat. Pokud máte zájem o další detaily, rád vám je poskytnu!","Ano, místo klasických červených rajčat můžete použít i zelenou nebo žlutou odrůdu, případně je zkombinovat."
Můžu použít jiné než červené rajčata?,test_case_3,True,0.6,The score is 0.60 because the response includes conversational elements (offers for assistance and closing remarks) that are not directly related to answering whether different colored tomatoes can be used.,"Ano, samozřejmě! V receptu na ""Salát z chřestu, rajčat a ořechů"" je uvedeno, že místo klasických červených rajčat můžete použít zelené nebo žluté odrůdy. Odrůdy rajčat můžete do salátu libovolně kombinovat podle své chuti. Pokud máte zájem o další rady nebo podrobnosti, dejte mi vědět! Dobrou chuť!",Místo červených rajčat můžete použít i rajčata zelená nebo žlutá a nebo je zkombinovat.
Jaké hovězí maso se používá na gulášovou polévku?,test_case_4,True,0.5,"The score is 0.50 because the inclusion of conversational phrases like 'Dobrou chuť!' detracts from the direct answer to the question about beef used in goulash soup. However, it still earns a moderate score as it likely contains some relevant information alongside the irrelevant parts.",Na gulášovou polévku se používá hovězí maso z krku nebo z plece. Dobrou chuť!,Hovězí maso na gulášovou polévku by mělo být z krku nebo z plece.
Jaké maso mám použít na gulášovou polévku?,test_case_5,False,0.3333333333333333,"The score is 0.33 because the response contains unnecessary conversational elements that don't directly address the type of meat to use for goulash soup, but it may have contained the answer to the question.","Na gulášovou polévku doporučuji použít hovězí maso z krku nebo z plece. Dobrou chuť! Pokud budete potřebovat více informací o přípravě polévky, neváhejte se ptát.",Hovězí maso použité na gulášovou polévku by mělo být z krku nebo z plece.
Jaké jsou všechny ingredience potřebné k přípravě zeleninového vývaru?,test_case_6,True,0.8823529411764706,"The score is 0.88 because while the response likely lists valid ingredients for vegetable broth, it also includes conversational elements (offering more info, wishing enjoyment) that, while polite, are irrelevant to the core task of listing ingredients.","Pro přípravu zeleninového vývaru podle receptu Romana Vaňka budete potřebovat následující ingredience:

- Bobkový list
- Celer
- Černý pepř celý
- Čerstvý tymián
- Cibule
- Mrkev
- Nové koření celé
- Petržel
- Plocholistá petržel
- Pórek
- Rajčata
- Slunečnicový olej
- Sůl
- Žampiony čerstvé celé i plátky

Pokud budete potřebovat podrobnější informace o přípravě, rád vám je poskytnu. Dobrou chuť!","Pro přípravu zeleninového vývaru budete potřebovat bobkový list, celer, celý černý pepř, čerstvý tymián, cibuli, mrkev, nové koření celé, petržel, plocholistou petržel, pórek, rajčata, slunečnicový olej, sůl a žampiony čerstvé celé i plátky."
Ztrácí zeleninový vývar při delším varu svou chuť?,test_case_7,True,0.8,"The score is 0.80 because the inclusion of a conversational closing like 'Enjoy your meal!' detracts from the core question about flavor loss during boiling, making the response not purely focused on the factual inquiry.","Ano, zeleninový vývar při delším varu ztrácí svou svěžest a chuť. Doporučuje se vařit ho pomalu a nezakryté přibližně 45 minut, jak je uvedeno v receptu na Zeleninový vývar. Dobrou chuť!","Ano, zeleninový vývar delším varem ztrácí svou svěžest."
Jak mám kuřátka rozříznout před marinováním?,test_case_8,True,0.8333333333333334,"The score is 0.83 because, while the response is mostly relevant to cutting chicken, the inclusion of an instruction that doesn't actually address the cutting process slightly detracts from full relevancy.","Kuřátka rozřízněte podél páteře a rozložte je jako knihu. Takto připravená kuřátka důkladně promíchejte s marinádou a nechte v lednici odležet alespoň 3 hodiny, nejlépe však přes noc. Dobrou chuť!",Kuřátka je třeba rozříznout podél páteře a rozložit jako knihu.
Mohu do vajíčkové pomazánky přidat nějaké bylinky?,test_case_9,True,0.6666666666666666,"The score is 0.67 because while the response likely answers the question, the inclusion of a general closing statement detracts from its focus and relevance, preventing a higher score.","Ano, do vajíčkové pomazánky můžete přidat najemno nasekanou plocholistou petržel nebo pažitku. Tím získá pomazánka svěží a aromatický nádech. Dobrou chuť!",Do vajíčkové pomazánky je možné přidat najemno nasekanou plocholistou petržel nebo pažitku.
Můžu použít i jiný druh hořčice než plnotučnou?,test_case_10,True,0.75,"The score is 0.75 because while the response likely answers the question about using other types of mustard, including a meal wish is irrelevant, preventing a perfect score.","Ano, můžete! V receptu na vajíčkovou pomazánku je uvedeno, že část plnotučné hořčice můžete nahradit dijonskou hořčicí, což pomazánce dodá ostřejší chuť. Dobrou chuť!","Do vajíčkové pomazánky můžeme přidat i dijonskou hořčici, která má ostřejší chuť."
Jak mám připravit formu na beránka před pečením?,test_case_11,True,0.8,"The score is 0.80 because the inclusion of the salutation 'Dobrou chuť!' as a step lowered the relevancy, as it is not part of the preparation process.","Formu na beránka důkladně vymažte máslem a poté vysypte hrubou moukou. Tím zajistíte, že se beránek po upečení snadno vyklopí a lépe drží tvar. Dobrou chuť!",Formu na beránka je třeba důkladně vymazat máslem a vysypat hrubou moukou.
Jak se správně připraví forma před pečením beránka?,test_case_12,True,0.8333333333333334,"The score is 0.83 because the response is mostly relevant to the question about preparing a lamb cake pan, but includes the irrelevant closing remark 'Enjoy your meal!'.",Před pečením beránka je důležité formu důkladně připravit. Nejprve ji pečlivě vymažeme máslem a poté vysypeme hrubou moukou. Tím zabráníme přilepení těsta k formě a usnadníme následné vyklápění hotového beránka. Dobrou chuť!,Formu na beránka je třeba důkladně vymazat máslem a vysypat hrubou moukou.
"Co mám dělat, když nemám čerstvé oregano? Mohu použít sušené?",test_case_13,True,0.625,"The score is 0.62 because while the response acknowledges the query, it also contains irrelevant statements about the database limitations and offers of general help instead of a direct answer, lowering the relevance score.","Tato informace není z databáze receptů, ale mohu nabídnout obecnou radu: Sušené oregano můžete použít jako náhradu za čerstvé oregano. Obecně platí, že sušené bylinky mají koncentrovanější chuť, takže budete potřebovat menší množství. Obvykle se doporučuje použít asi třetinu množství sušeného oregana ve srovnání s čerstvým. Například, pokud recept vyžaduje jednu lžíci čerstvého oregana, použijte jednu čajovou lžičku sušeného. Dobrou chuť!","Pokud nemáte čerstvé oregano, můžete použít zarovnanou lžičku sušeného oregana. V takovém případě ho přidejte do kastrolu společně s vínem."
